TALL,T 1,T 2,T 3,T 4,T 5,T 6,T 7,T 8,OTHER
446,,,,,,,,,
467,,,,,,,,,
508,,,,,,,,,
551,,,,,,,,,
558,,,,,,,,,
575,,,,,,,,,
599,,,,,,,,,
660,,,,,,,,,
690,,,,,,,,,
698,,,,,,,,,
712,70,140,44,39,227,93,40,49,
726,73,142,49,40,236,93,50,43,
748,73,143,49,43,237,97,50,56,
764,74,145,50,44,242,97,51,61,
772,76,145,50,46,242,98,52,63,
788,77,145,54,46,248,100,53,65,
804,78,145,54,49,253,102,56,67,
811,78,146,55,51,254,103,57,67,0
823,82,147,55,53,256,104,58,68,0
843,82,147,57,53,256,104,58,86,0
865,94,147,60,54,257,106,60,87,0
919,125,152,62,59,260,108,61,92,0
935,130,154,64,63,262,108,62,92,0
954,131,155,66,71,264,109,66,92,0
971,133,156,67,75,265,115,67,93,0
979,134,158,69,77,265,115,68,93,0
1010,141,161,74,83,270,115,69,97,0
1029,148,162,74,85,271,116,70,103,0
1057,151,163,78,91,273,120,71,110,0
1079,157,164,,91,278,123,73,110,0
1085,157,164,83,93,279,125,74,110,0
1106,158,169,84,95,286,130,74,110,0
,163,172,87,98,287,133,75,109,0
1153,165,176,90,105,291,139,76,111,0
1179,170,180,93,109,294,142,77,114,0
1195,173,180,93,109,296,145,78,121,0
,,,,,,,,,0
1204,174,181,94,112,297,145,79,122,165
1214,176,181,94,118,297,147,79,122,167
1238,179,184,98,122,299,150,80,126,168
1273,180,187,105,,304,155,81,131,172
1298,180,197,106,136,305,155,83,136,175
1347,182,209,107,140,307,183,83,136,177
1392,189,213,109,152,311,188,94,136,179
1453,192,221,119,167,320,204,94,136,180
1467,,225,119,174,321,205,94,135,182
1496,197,227,123,186,324,209,94,136,183
1560,202,238,137,203,328,220,96,136,185
1667,221,248,152,215,334,258,103,136,187
1762,227,266,162,229,348,282,107,141,188
1856,232,279,169,254,358,314,109,141,190
1955,240,295,175,270,366,357,119,133,192
2016,246,303,181,290,371,366,126,133,193
2175,251,325,211,324,395,392,144,133,195
2319,256,342,224,356,421,430,157,133,201
2528,268,361,255,388,445,503,173,135,212
2732,284,403,266,452,472,542,176,137,218
